Name;Worldwide;Domestic;Foreign
The Unlikely Pilgrimage of Harold Fry;$5,212,699;-;$5,212,699
The Wandering Earth II;$8,854,786;$5,023,132;$3,831,654
Theater Camp;$4,215,783;$4,009,945;$205,838
Titanic 25 Year Anniversary;$70,157,472;$15,033,795;$55,123,677
Tokyo MER;$30,226,383;-;$30,226,383
Tokyo Revengers 2: Bloody Halloween - Decisive Battle;$14,584,970;-;$14,584,970
Tokyo Revengers 2: Bloody Halloween - Destiny;$17,216,567;-;$17,216,567
Transformers: Rise of the Beasts;$438,966,392;$157,066,392;$281,900,000
Vacaciones de verano;$8,164,769;-;$8,164,769
What's Love Got to Do with It?;$11,108,409;-;$11,108,409
When Will It Be Again Like It Never Was Before;$4,282,908;-;$4,282,908
Winnie the Pooh: Blood and Honey;$4,941,200;$1,750,639;$3,190,561
You Hurt My Feelings;$5,698,637;$4,830,788;$867,849
