;Name;Worldwide;Domestic;MovieType;Duration;Year;Country;Director;Continent
716;Shrek the Third;813367380;322719944;Animasyon;93;2007;ABD;Raman Hui;ABD
717;Transformers;709709780;319246193;Bilim Kurgu;143;2007;ABD;Michael Bay;ABD
718;Ratatouille;623726085;206445654;Animasyon;111;2007;ABD;Brad Bird;ABD
719;I Am Legend;585410052;256393010;Bilim Kurgu;100;2007;ABD;Francis Lawrence;ABD
720;The Simpsons Movie;536414270;183135014;Animasyon;87;2007;ABD;David Silverman;ABD
721;National Treasure: Book of Secrets;459242249;219964115;Aksiyon;124;2007;ABD;Jon Turteltaub;ABD
722;300;456068181;210614939;Aksiyon;117;2006;Multi Nation;Zack Snyder;Multi Nation
723;Live Free or Die Hard;388156011;134529403;Aksiyon;128;2007;Multi Nation;Len Wiseman;Multi Nation
724;The Golden Compass;372234864;70107728;Fantastik;113;2007;Multi Nation;Chris Weitz;Multi Nation
725;Alvin and the Chipmunks;365352546;217326974;Animasyon;91;2007;ABD;Tim Hill;ABD
726;Enchanted;340487652;127807262;Aile;107;2007;ABD;Kevin Lima;ABD
727;Ocean's Thirteen;311312624;117154724;Gerilim;122;2007;ABD;Steven Soderbergh;ABD
728;Bee Movie;293514336;126631277;Animasyon;91;2007;ABD;Steve Hickner;ABD
729;American Gangster;269755430;130164645;Dram;157;2007;Multi Nation;Ridley Scott;Multi Nation
730;Rush Hour 3;258097122;140125968;Aksiyon;91;2007;ABD;Brett Ratner;ABD
731;Wild Hogs;253625427;168273550;Aksiyon;100;2007;ABD;Walt Becker;ABD
732;Juno;232372681;143495265;Dram;96;2007;ABD;Jason Reitman;ABD
733;Mr. Bean's Holiday;232225908;33302167;Aile;90;2007;?ngiltere;Steve Bendelack;Europe
734;Ghost Rider;228738393;115802596;Aksiyon;114;2007;ABD;Mark Steven Johnson;ABD
735;Knocked Up;219922417;148768917;Dram;129;2007;ABD;Judd Apatow;ABD
736;Hairspray;203552922;118871849;Dram;117;2007;Multi Nation;Adam Shankman;Multi Nation
737;Beowulf;196393745;82280579;Animasyon;115;2007;ABD;Robert Zemeckis;ABD
738;Knowing;183658498;79957634;Bilim Kurgu;121;2009;Multi Nation;Alex Proyas;Multi Nation
739;The Bucket List;175372502;93466502;Dram;97;2007;ABD;Rob Reiner;ABD
740;Evan Almighty;174440724;100462298;Aile;96;2007;ABD;Tom Shadyac;ABD
741;Superbad;170812526;121463226;Komedi;113;2007;ABD;Greg Mottola;ABD
742;Meet the Robinsons;169333034;97822171;Animasyon;95;2007;ABD;Stephen J. Anderson;ABD
743;Norbit;159814490;95673607;Komedi;102;2007;ABD;Brian Robbins;ABD
744;P.S. I Love You;156835339;53695808;Dram;126;2007;ABD;Richard LaGravenese;ABD
745;Sweeney Todd: The Demon Barber of Fleet Street;153383627;52898073;Dram;116;2007;Multi Nation;Tim Burton;Multi Nation
746;Surf's Up;152005713;58867694;Animasyon;85;2007;ABD;Ash Brannon;ABD
747;The Game Plan;147880543;90648202;Aile;110;2007;ABD;Andy Fickman;ABD
748;Resident Evil: Extinction;147717833;50648679;Bilim Kurgu;94;2007;Multi Nation;Russell Mulcahy;Multi Nation
