;Name;Avg Rating;Movie Type;Director;Rate Count;Watch Count;Fav;Duration;Made In
1853;Employee of the Month;7.8;Komedi;Greg Coolidge;352;259 kullan?c? Ay?n Çal??an? filmini izledi;365 kullan?c?n?n favori filmi;103dk;"2006 -
                            

                                                                                                                                                                                                            ABD"
815;Enchanted;7.9;Aile;Kevin Lima;864;707 kullan?c? Manhattan'da Sihir filmini izledi;956 kullan?c?n?n favori filmi;107dk;"2007 -
                            

                                                                                                                                                                                                            ABD"
2276;Ender's Game;7.1;Bilim Kurgu;Gavin Hood;479;725 kullan?c? Uzay Oyunlar? filmini izledi;274 kullan?c?n?n favori filmi;114dk;"2013 -
                            

                                                                                                                                                                                                            ABD"
337;Enemy At The Gates;8.4;Dram;Jean-Jacques Annaud;1791;2072 kullan?c? Kap?daki Dü?man filmini izledi;2136 kullan?c?n?n favori filmi;131dk;"2001 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 Almanya
                                                                         ,                                                                                                                                                 ?rlanda
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
832;Enemy Of The State;8.3;Aksiyon;Tony Scott;923;1014 kullan?c? Devlet Dü?man? filmini izledi;940 kullan?c?n?n favori filmi;132dk;"1998 -
                            

                                                                                                                                                                                                            ABD"
2241;Ensemble, C’est Tout;7.8;Dram;Claude Berri;273;244 kullan?c? Bir Araday?z, Hepsi Bu filmini izledi;280 kullan?c?n?n favori filmi;97dk;"2007 -
                            

                                                                                                                                                                                                            Fransa"
2337;Eorin Shinbu;8.3;Dram;Ho-joon Kim;266;423 kullan?c? Benim Küçük Gelinim filmini izledi;263 kullan?c?n?n favori filmi;115dk;"2004 -
                            

                                                                                                                                                                                                            Güney Kore"
669;Equilibrium;8.2;Bilim Kurgu;Kurt Wimmer;1150;1383 kullan?c? ?syan filmini izledi;1135 kullan?c?n?n favori filmi;107dk;"2002 -
                            

                                                                                                                                                                                                            ABD"
1538;Escape From Alcatraz;8.4;Dram;Don Siegel;496;549 kullan?c? Alcatraz'dan Kaç?? filmini izledi;463 kullan?c?n?n favori filmi;113dk;"1979 -
                            

                                                                                                                                                                                                            ABD"
898;Escape Plan;8.0;Aksiyon;Mikael Håfström;1199;2038 kullan?c? Kaç?? Plan? filmini izledi;868 kullan?c?n?n favori filmi;115dk;"2013 -
                            

                                                                                                                                                                                                            ABD"
46;Eternal Sunshine of the Spotless Mind;8.4;Bilim Kurgu;Michel Gondry;5099;7548 kullan?c? Sil Ba?tan filmini izledi;6881 kullan?c?n?n favori filmi;108dk;"2004 -
                            

                                                                                                                                                                                                            ABD"
879;EuroTrip;8.0;Komedi;Jeff Schaffer;931;1073 kullan?c? Avrupa Muhabbeti filmini izledi;887 kullan?c?n?n favori filmi;93dk;"2004 -
                            

                                                                                                                                                                                                            ABD"
715;Evan Almighty;7.4;Aile;Tom Shadyac;1104;1099 kullan?c? Aman Tanr?m filmini izledi;1074 kullan?c?n?n favori filmi;96dk;"2007 -
                            

                                                                                                                                                                                                            ABD"
955;Everybody's Fine;8.1;Dram;Kirk Jones;895;519 kullan?c? Herkesin Keyfi Yerinde filmini izledi;813 kullan?c?n?n favori filmi;99dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
2166;Everyone's Hero;7.6;Animasyon;"Christopher Reeve
                                        ,                                                                                                                     Dan St. Pierre
                                        ,                                                                                                                     Colin Brady";296;313 kullan?c? Küçük Kahraman filmini izledi;294 kullan?c?n?n favori filmi;87dk;"2006 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 ABD"
1553;Evil Dead;7.0;Korku;Fede Álvarez;704;1089 kullan?c? Kötü Ruh filmini izledi;455 kullan?c?n?n favori filmi;91dk;"2013 -
                            

                                                                                                                                                                                                            ABD"
2298;Evil: Ondskan;8.2;Dram;Mikael Håfström;275;223 kullan?c? ?eytana Kar?? filmini izledi;271 kullan?c?n?n favori filmi;113dk;"2003 -
                            

                                                                                                                                                                                                            Danimarka
                                                                         ,                                                                                                                                                 ?sveç"
1079;Exam;7.7;Gerilim;Stuart Hazeldine;820;1106 kullan?c? S?nav filmini izledi;702 kullan?c?n?n favori filmi;101dk;"2009 -
                            

                                                                                                                                                                                                            ?ngiltere"
967;Eyes Wide Shut;7.8;Dram;Stanley Kubrick;824;1169 kullan?c? Gözü Tamamen Kapal? filmini izledi;800 kullan?c?n?n favori filmi;159dk;"1999 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
2082;Fa Yeung Nin Wa;8.2;Dram;Kar-Wai Wong;274;300 kullan?c? A?k Zaman? filmini izledi;312 kullan?c?n?n favori filmi;98dk;"2000 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 Hong Kong
                                                                         ,                                                                                                                                                 Hollanda"
139;Face/Off;8.5;Bilim Kurgu;John Woo;2955;3458 kullan?c? Yüz Yüze filmini izledi;3664 kullan?c?n?n favori filmi;138dk;"1997 -
                            

                                                                                                                                                                                                            ABD"
1677;Faces in the Crowd;7.5;Gerilim;Julien Magnat;569;743 kullan?c? Katilin Yüzü filmini izledi;416 kullan?c?n?n favori filmi;102dk;"2011 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 Fransa
                                                                         ,                                                                                                                                                 ABD"
1876;Failure To Launch;7.5;Komedi;Tom Dey;364;405 kullan?c? Dü? Yakam?zdan filmini izledi;357 kullan?c?n?n favori filmi;97dk;"2006 -
                            

                                                                                                                                                                                                            ABD"
1601;Family Man;8.0;Dram;Brett Ratner;467;393 kullan?c? Aile Babas? filmini izledi;441 kullan?c?n?n favori filmi;125dk;"2000 -
                            

                                                                                                                                                                                                            ABD"
1472;Fantastic Beasts and Where to Find Them;8.0;Aile;David Yates;637;1107 kullan?c? Fantastik Canavarlar Nelerdir, Nerede Bulunurlar? filmini izledi;488 kullan?c?n?n favori filmi;132dk;"2016 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
313;Fantastic Four;7.7;Bilim Kurgu;Tim Story;1926;3478 kullan?c? Fantastik Dörtlü filmini izledi;2278 kullan?c?n?n favori filmi;106dk;"2005 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 ABD"
270;Fantastic Four 2: Rise of the Silver Surfer;7.8;Aksiyon;Tim Story;2162;3078 kullan?c? Fantastik 4: Gümü? Sörfçü'nün Yükseli?i filmini izledi;2475 kullan?c?n?n favori filmi;92dk;"2007 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
2072;Far And Away;8.1;Dram;Ron Howard;290;252 kullan?c? Uzak Ufuklar filmini izledi;316 kullan?c?n?n favori filmi;140dk;"1992 -
                            

                                                                                                                                                                                                            ABD"
123;Fast and Furious;7.8;Aksiyon;Justin Lin;3061;4415 kullan?c? H?zl? ve Öfkeli 4 filmini izledi;3936 kullan?c?n?n favori filmi;107dk;"2009 -
                            

                                                                                                                                                                                                            Japonya
                                                                         ,                                                                                                                                                 ABD"
252;Fast and Furious 6;7.6;Aksiyon;Justin Lin;2982;4385 kullan?c? H?zl? ve Öfkeli 6 filmini izledi;2598 kullan?c?n?n favori filmi;131dk;"2013 -
                            

                                                                                                                                                                                                            Japonya
                                                                         ,                                                                                                                                                 ?spanya
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
81;Fast Five;8.2;Aksiyon;Justin Lin;3925;5835 kullan?c? H?zl? ve Öfkeli 5: Rio Soygunu filmini izledi;4744 kullan?c?n?n favori filmi;130dk;"2011 -
                            

                                                                                                                                                                                                            ABD"
1464;Faster;6.6;Aksiyon;George Tillman Jr.;52;733 kullan?c? Adalet Benim filmini izledi;491 kullan?c?n?n favori filmi;98dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
672;Fearless;8.5;Aksiyon;Ronny Yu;938;1060 kullan?c? Korkusuz filmini izledi;1132 kullan?c?n?n favori filmi;103dk;"2006 -
                            

                                                                                                                                                                                                            Çin
                                                                         ,                                                                                                                                                 ABD"
1726;Felon;8.1;Aksiyon;Ric Roman Waugh;467;393 kullan?c? Suç Ç?kmaz? filmini izledi;397 kullan?c?n?n favori filmi;103dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
1436;Fifty Shades of Grey;5.9;Dram;Sam Taylor-Johnson;1133;1513 kullan?c? Grinin Elli Tonu filmini izledi;503 kullan?c?n?n favori filmi;125dk;"2015 -
                            

                                                                                                                                                                                                            ABD"
4;Fight Club;8.8;Dram;"David Fincher
                                        ,                                                                                                                     Chon Kye-Young";10686;12923 kullan?c? Dövü? Kulübü filmini izledi;14433 kullan?c?n?n favori filmi;139dk;"1999 -
                            

                                                                                                                                                                                                            ABD"
142;Final Destination;8.1;Korku;James Wong;2779;4781 kullan?c? Son Durak filmini izledi;3633 kullan?c?n?n favori filmi;98dk;"2000 -
                            

                                                                                                                                                                                                            ABD"
227;Final Destination 2;7.9;Gizem;David R. Ellis;2213;3643 kullan?c? Son Durak 2 filmini izledi;2837 kullan?c?n?n favori filmi;90dk;"2003 -
                            

                                                                                                                                                                                                            ABD"
182;Final Destination 3;7.8;Gizem;James Wong;2314;3565 kullan?c? Son Durak 3 filmini izledi;3191 kullan?c?n?n favori filmi;93dk;"2006 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 Almanya
                                                                         ,                                                                                                                                                 ABD"
401;Final Destination 5;7.9;Gizem;Steven Quale;1880;2816 kullan?c? Son Durak 5 filmini izledi;1824 kullan?c?n?n favori filmi;92dk;"2011 -
                            

                                                                                                                                                                                                            ABD"
276;Finding Nemo;8.4;Animasyon;"Andrew Stanton
                                        ,                                                                                                                     Lee Unkrich";2073;3668 kullan?c? Kay?p Bal?k Nemo filmini izledi;2455 kullan?c?n?n favori filmi;100dk;"2003 -
                            

                                                                                                                                                                                                            ABD"
407;Finding Neverland;8.4;Dram;Marc Forster;1455;1677 kullan?c? Dü?ler Ülkesi filmini izledi;1790 kullan?c?n?n favori filmi;106dk;"2004 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1910;Fired Up;7.7;Komedi;Will Gluck;402;321 kullan?c? Ate?li Gençlik filmini izledi;351 kullan?c?n?n favori filmi;90dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
772;First Blood;8.4;Aksiyon;Ted Kotcheff;979;1407 kullan?c? Rambo: ?lk Kan filmini izledi;1011 kullan?c?n?n favori filmi;93dk;"1982 -
                            

                                                                                                                                                                                                            ABD"
1819;Flight;7.2;Dram;Robert Zemeckis;710;1070 kullan?c? Uçu? filmini izledi;373 kullan?c?n?n favori filmi;138dk;"2012 -
                            

                                                                                                                                                                                                            ABD"
426;Flightplan;7.9;Dram;Robert Schwentke;1545;2174 kullan?c? Uçu? Plan? filmini izledi;1745 kullan?c?n?n favori filmi;98dk;"2005 -
                            

                                                                                                                                                                                                            ABD"
856;Flipped;8.4;Dram;Rob Reiner;796;1238 kullan?c? ?lk A?k filmini izledi;911 kullan?c?n?n favori filmi;89dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
1425;Flushed Away;8.1;Animasyon;"David Bowers
                                        ,                                                                                                                     Sam Fell";546;631 kullan?c? Fare ?ehri filmini izledi;509 kullan?c?n?n favori filmi;85dk;"2006 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1925;Flyboys;8.0;Aksiyon;Tony Bill;372;277 kullan?c? Kahraman Pilotlar filmini izledi;349 kullan?c?n?n favori filmi;138dk;"2006 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1837;Focus;7.6;Komedi;"Glenn Ficarra
                                        ,                                                                                                                     John Requa";551;1099 kullan?c? Fokus filmini izledi;369 kullan?c?n?n favori filmi;104dk;"2015 -
                            

                                                                                                                                                                                                            ABD"
1500;Fool's Gold;7.6;Komedi;Andy Tennant;546;509 kullan?c? Alt?n ?ans filmini izledi;477 kullan?c?n?n favori filmi;112dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
1904;Forgetting Sarah Marshall;7.5;Dram;Nicholas Stoller;492;435 kullan?c? A?kzede filmini izledi;352 kullan?c?n?n favori filmi;111dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
2195;Four Brothers;7.8;Aksiyon;John Singleton;364;385 kullan?c? Dört Karde? filmini izledi;288 kullan?c?n?n favori filmi;109dk;"2005 -
                            

                                                                                                                                                                                                            ABD"
2319;Four Christmases;7.5;Dram;Seth Gordon;343;309 kullan?c? Zoraki Tatil filmini izledi;266 kullan?c?n?n favori filmi;88dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
661;Fracture;8.0;Gerilim;Gregory Hoblit;1102;1167 kullan?c? Cinayet Gecesi filmini izledi;1148 kullan?c?n?n favori filmi;113dk;"2007 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 ABD"
2215;Frankenweenie 3D;7.4;Animasyon;Tim Burton;429;553 kullan?c? Frankenweenie filmini izledi;284 kullan?c?n?n favori filmi;87dk;"2012 -
                            

                                                                                                                                                                                                            ABD"
909;Freaky Friday;7.9;Aile;Mark Waters;668;811 kullan?c? Ç?lg?n Cuma filmini izledi;859 kullan?c?n?n favori filmi;97dk;"2003 -
                            

                                                                                                                                                                                                            ABD"
723;Freddy vs. Jason;7.5;Korku;Ronny Yu;1073;1160 kullan?c? Freddy Jason'a Kar?? filmini izledi;1063 kullan?c?n?n favori filmi;97dk;"2003 -
                            

                                                                                                                                                                                                            ABD"
1262;Freddy's Dead: The Final Nightmare;7.6;Gerilim;Rachel Talalay;542;585 kullan?c? Elm Soka??nda Kabus 6: Son Kabus filmini izledi;590 kullan?c?n?n favori filmi;89dk;"1991 -
                            

                                                                                                                                                                                                            ABD"
973;Freedom Writers;8.4;Dram;Richard LaGravenese;689;810 kullan?c? Özgürlük Yazarlar? filmini izledi;794 kullan?c?n?n favori filmi;123dk;"2007 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 ABD"
2075;French Kiss;7.9;Komedi;Lawrence Kasdan;281;261 kullan?c? Frans?z Öpücü?ü filmini izledi;315 kullan?c?n?n favori filmi;111dk;"1995 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1417;Frequency;8.2;Bilim Kurgu;Gregory Hoblit;509;579 kullan?c? Frekans filmini izledi;512 kullan?c?n?n favori filmi;118dk;"2000 -
                            

                                                                                                                                                                                                            ABD"
642;Friday the 13th;7.6;Korku;Marcus Nispel;1240;1001 kullan?c? 13. Gün filmini izledi;1168 kullan?c?n?n favori filmi;97dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
1556;Friday the 13th;7.8;Korku;Sean S. Cunningham;440;506 kullan?c? 13. Cuma filmini izledi;455 kullan?c?n?n favori filmi;95dk;"1980 -
                            

                                                                                                                                                                                                            ABD"
2391;Fried Green Tomatoes;8.2;Dram;Jon Avnet;212;199 kullan?c? K?zarm?? Ye?il Domatesler filmini izledi;255 kullan?c?n?n favori filmi;130dk;"1991 -
                            

                                                                                                                                                                                                            ABD"
550;Friends With Benefits;7.7;Komedi;Will Gluck;1565;3225 kullan?c? Arkada?tan Öte filmini izledi;1370 kullan?c?n?n favori filmi;109dk;"2011 -
                            

                                                                                                                                                                                                            ABD"
1514;Fright Night;7.4;Komedi;Craig Gillespie;606;854 kullan?c? Korku Gecesi filmini izledi;473 kullan?c?n?n favori filmi;106dk;"2011 -
                            

                                                                                                                                                                                                            Hindistan
                                                                         ,                                                                                                                                                 ABD"
1076;Fritt vilt;7.5;Gerilim;Roar Uthaug;721;792 kullan?c? ?eytan?n Oteli filmini izledi;706 kullan?c?n?n favori filmi;97dk;"2006 -
                            

                                                                                                                                                                                                            Norveç"
1474;Fritt Vilt 2;7.5;Gerilim;Mats Stenberg;515;529 kullan?c? ?eytan?n Oteli 2 filmini izledi;487 kullan?c?n?n favori filmi;86dk;"2008 -
                            

                                                                                                                                                                                                            Norveç"
1790;Fritt vilt III;7.2;Korku;Mikkel Brænne Sandemose;432;367 kullan?c? ?eytan?n Oteli 3 filmini izledi;380 kullan?c?n?n favori filmi;97dk;"2010 -
                            

                                                                                                                                                                                                            Norveç"
1232;From Dusk Till Dawn;8.1;Aksiyon;Robert Rodriguez;605;542 kullan?c? Gün Bat?m?ndan ?afa?a filmini izledi;604 kullan?c?n?n favori filmi;108dk;"1996 -
                            

                                                                                                                                                                                                            ABD"
869;From Hell;8.0;Gerilim;"Albert Hughes
                                        ,                                                                                                                     Allen Hughes";884;947 kullan?c? Cehennemden Gelen filmini izledi;895 kullan?c?n?n favori filmi;122dk;"2001 -
                            

                                                                                                                                                                                                            ABD
                                                                         ,                                                                                                                                                 ?ngiltere"
670;From Paris with Love;7.9;Aksiyon;Pierre Morel;1338;1484 kullan?c? Paris'ten Sevgilerle filmini izledi;1134 kullan?c?n?n favori filmi;92dk;"2010 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 Fransa"
1481;Frontière(s);7.6;Aksiyon;Xavier Gens;561;442 kullan?c? S?n?r(da) filmini izledi;485 kullan?c?n?n favori filmi;108dk;"2007 -
                            

                                                                                                                                                                                                            ?sviçre
                                                                         ,                                                                                                                                                 Fransa"
1523;Frozen;7.8;Animasyon;"Chris Buck
                                        ,                                                                                                                     Jennifer Lee (i)";818;1360 kullan?c? Karlar Ülkesi filmini izledi;467 kullan?c?n?n favori filmi;102dk;"2013 -
                            

                                                                                                                                                                                                            ABD"
1062;Fun With Dick And Jane;7.9;Komedi;Dean Parisot;755;830 kullan?c? Dick ve Jane ??ba??nda filmini izledi;718 kullan?c?n?n favori filmi;90dk;"2005 -
                            

                                                                                                                                                                                                            ABD"
1195;Funny Games U.S.;7.0;Dram;Michael Haneke;787;705 kullan?c? Ölümcül Oyunlar filmini izledi;625 kullan?c?n?n favori filmi;111dk;"2007 -
                            

                                                                                                                                                                                                            Avusturya
                                                                         ,                                                                                                                                                 Fransa
                                                                         ,                                                                                                                                                 Almanya
                                                                         ,                                                                                                                                                 ?talya
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1223;Funny People;7.7;Dram;Judd Apatow;740;406 kullan?c? Matrak Adamlar filmini izledi;610 kullan?c?n?n favori filmi;146dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
448;Furious 7;8.3;Aksiyon;James Wan;2002;2425 kullan?c? H?zl? ve Öfkeli 7 filmini izledi;1657 kullan?c?n?n favori filmi;137dk;"2015 -
                            

                                                                                                                                                                                                            ABD"
620;G.I. Joe: Retaliation;7.5;Bilim Kurgu;Jon M. Chu;1562;2676 kullan?c? G.I. Joe: Misilleme filmini izledi;1199 kullan?c?n?n favori filmi;110dk;"2013 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 ABD"
266;G.I. Joe: The Rise of Cobra;7.9;Bilim Kurgu;Stephen Sommers;2449;2937 kullan?c? G.I. Joe: Kobra'n?n Yükseli?i filmini izledi;2495 kullan?c?n?n favori filmi;118dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
366;Gamer;7.7;Bilim Kurgu;"Brian Taylor
                                        ,                                                                                                                     Mark Neveldine";2053;2276 kullan?c? Oyuncu filmini izledi;1989 kullan?c?n?n favori filmi;95dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
552;Gangs Of New York;8.2;Dram;Martin Scorsese;1221;1613 kullan?c? New York Çeteleri filmini izledi;1369 kullan?c?n?n favori filmi;167dk;"2002 -
                            

                                                                                                                                                                                                            ?talya
                                                                         ,                                                                                                                                                 ABD"
2394;Garden State;7.9;Dram;Zach Braff;283;264 kullan?c? Eve Dönü? filmini izledi;255 kullan?c?n?n favori filmi;102dk;"2004 -
                            

                                                                                                                                                                                                            ABD"
1470;Garfield Gets Real;6.8;Animasyon;"Kyung Ho Lee
                                        ,                                                                                                                     Mark A.Z. Dippé";438;332 kullan?c? Garfield Geri Dönüyor filmini izledi;489 kullan?c?n?n favori filmi;78dk;"2007 -
                            

                                                                                                                                                                                                            ABD"
532;Garfield: A Tail of Two Kitties;7.1;Animasyon;Tim Hill;1186;1751 kullan?c? Garfield 2 filmini izledi;1424 kullan?c?n?n favori filmi;78dk;"2006 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
545;Garfield: The Movie;7.7;Animasyon;Peter Hewitt;1175;2047 kullan?c? Garfield filmini izledi;1391 kullan?c?n?n favori filmi;80dk;"2004 -
                            

                                                                                                                                                                                                            ABD"
2204;Garfield's Fun Fest;6.7;Animasyon;Mark A.Z. Dippé;300;156 kullan?c? Garfield Komedi Festivali filmini izledi;286 kullan?c?n?n favori filmi;75dk;"2008 -
                            

                                                                                                                                                                                                            Güney Kore
                                                                         ,                                                                                                                                                 ABD"
1100;Gegen die Wand;7.8;Dram;Fatih Ak?n;776;885 kullan?c? Duvara Kar?? filmini izledi;690 kullan?c?n?n favori filmi;117dk;"2004 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 Türkiye"
