;Name;Avg Rating;Movie Type;Director;Rate Count;Watch Count;Fav;Duration;Made In
755;The Accidental Spy;7.7;Aksiyon;Teddy Chen;1210;1757 kullan?c? Alt?n Yumruk ?stanbul'da filmini izledi;1031 kullan?c?n?n favori filmi;108dk;"2001 -
                            

                                                                                                                                                                                                            Hong Kong
                                                                         ,                                                                                                                                                 Türkiye"
2234;The Addams Family;7.8;Fantastik;Barry Sonnenfeld;290;344 kullan?c? Addams Ailesi filmini izledi;281 kullan?c?n?n favori filmi;99dk;"1991 -
                            

                                                                                                                                                                                                            ABD"
676;The Adjustment Bureau;7.9;Bilim Kurgu;George Nolfi;1324;1642 kullan?c? Kader Ajanlar? filmini izledi;1128 kullan?c?n?n favori filmi;106dk;"2011 -
                            

                                                                                                                                                                                                            ABD"
2070;The Adventures Of Tintin: The Secret Of The Unicorn;7.9;Animasyon;Steven Spielberg;496;746 kullan?c? TenTen'in Maceralar? filmini izledi;316 kullan?c?n?n favori filmi;100dk;"2011 -
                            

                                                                                                                                                                                                            ABD"
2382;The Age Of Adaline;7.5;Dram;Lee Toland Krieger;330;698 kullan?c? Ölümsüz A?k filmini izledi;256 kullan?c?n?n favori filmi;112dk;"2015 -
                            

                                                                                                                                                                                                            ABD"
149;The Amazing Spider-Man;7.7;Aksiyon;Marc Webb;4014;4475 kullan?c? ?nan?lmaz Örümcek Adam filmini izledi;3565 kullan?c?n?n favori filmi;136dk;"2012 -
                            

                                                                                                                                                                                                            ABD"
824;The Amazing Spider-Man 2;8.0;Aksiyon;Marc Webb;1094;1968 kullan?c? ?nan?lmaz Örümcek-Adam 2 filmini izledi;944 kullan?c?n?n favori filmi;141dk;"2014 -
                            

                                                                                                                                                                                                            ABD"
1242;The Amityville Horror;7.7;Korku;Andrew Douglas;596;620 kullan?c? Deh?et Soka?? filmini izledi;601 kullan?c?n?n favori filmi;90dk;"2005 -
                            

                                                                                                                                                                                                            ABD"
2385;The Animal;7.7;Komedi;Luke Greenfield;301;314 kullan?c? Hayvan filmini izledi;256 kullan?c?n?n favori filmi;84dk;"2001 -
                            

                                                                                                                                                                                                            ABD"
1957;The Ant Bully;7.7;Animasyon;John A. Davis;401;411 kullan?c? Bitirim Kar?nca filmini izledi;340 kullan?c?n?n favori filmi;88dk;"2006 -
                            

                                                                                                                                                                                                            ABD"
1731;The Artist;7.8;Dram;Michel Hazanavicius;469;657 kullan?c? Artist filmini izledi;396 kullan?c?n?n favori filmi;100dk;"2011 -
                            

                                                                                                                                                                                                            Belçika
                                                                         ,                                                                                                                                                 Fransa"
757;The Assassination of Jesse James by the Coward Robert Ford;8.1;Aksiyon;Andrew Dominik;925;824 kullan?c? Korkak Robert Ford'un Jesse James Suikast? filmini izledi;1027 kullan?c?n?n favori filmi;160dk;"2007 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1511;The Astronaut's Wife;7.6;Bilim Kurgu;Rand Ravich;485;482 kullan?c? Astronotun Kar?s? filmini izledi;474 kullan?c?n?n favori filmi;109dk;"1999 -
                            

                                                                                                                                                                                                            ABD"
471;The A-Team;8.2;Aksiyon;Joe Carnahan;1708;2186 kullan?c? A-Tak?m? filmini izledi;1590 kullan?c?n?n favori filmi;117dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
79;The Avengers;8.2;Bilim Kurgu;Joss Whedon;4895;8095 kullan?c? Yenilmezler filmini izledi;4766 kullan?c?n?n favori filmi;145dk;"2012 -
                            

                                                                                                                                                                                                            ABD"
783;The Aviator;8.1;Dram;Martin Scorsese;929;948 kullan?c? Göklerin Hakimi filmini izledi;992 kullan?c?n?n favori filmi;170dk;"2004 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 ABD"
917;The Back-Up Plan;7.2;Komedi;Alan Poul;882;729 kullan?c? B Plan? filmini izledi;852 kullan?c?n?n favori filmi;106dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
423;The Bank Job;8.3;Dram;Roger Donaldson;1650;1959 kullan?c? Banka ??i filmini izledi;1754 kullan?c?n?n favori filmi;112dk;"2008 -
                            

                                                                                                                                                                                                            Avustralya
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
