;Name;Worldwide;Domestic;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Savas
472;Spanglish;55470154;42726869;130;2004;ABD;James L. Brooks;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
473;The Punisher;54700105;33810189;124;2004;Multi Nation;Jonathan Hensleigh;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
474;Open Water;54683487;30610863;79;2003;ABD;Chris Isaak;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
475;You Got Served;50576805;40363810;95;2004;ABD;Christopher B. Stokes;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
476;Raising Helen;49718611;37486512;119;2004;ABD;Garry Marshall;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
477;Wimbledon;41682237;17001133;98;2004;Multi Nation;Richard Loncraine;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
478;Garden State;35825316;26782316;102;2004;ABD;Zach Braff;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
479;Jersey Girl;35492921;25268157;102;2004;ABD;Kevin Smith;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
480;Alfie;35060882;13399812;103;2004;Multi Nation;Charles Shyer;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
481;Hotel Rwanda;33882243;23530892;121;2004;Multi Nation;Terry George;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
482;Confessions of a Teenage Drama Queen;33251890;29331068;89;2004;Multi Nation;Sara Sugarman;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
483;The Girl Next Door;30381722;14589444;110;2004;Multi Nation;Luke Greenfield;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
484;Godsend;30120671;14379751;102;2004;Multi Nation;Nick Hamm;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
485;Agent Cody Banks 2: Destination London;28818995;23630159;100;2004;ABD;Kevin Allen;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
486;Dirty Dancing: Havana Nights;27685016;14161590;86;2004;ABD;Guy Ferland;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
487;Ella Enchanted;27388767;22918387;96;2004;Multi Nation;Tommy O'Haver;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
488;The Whole Ten Yards;26170671;16328471;98;2004;ABD;Howard Deutch;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
489;Seed of Chucky;24829644;17083732;86;2004;ABD;Don Mancini;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
490;Bride & Prejudice;24716440;6605592;111;2004;Multi Nation;Gurinder Chadha;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
491;Birth;23925492;5095038;100;2004;Multi Nation;Jonathan Glazer;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
492;EuroTrip;22605153;17771387;93;2004;ABD;Jeff Schaffer;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
493;Wicker Park;21568818;13001257;114;2004;ABD;Paul McGuigan;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
494;New York Minute;21289826;14071441;91;2004;ABD;Dennie Gordon;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
495;Mindhunters;21148829;4480744;106;2004;Multi Nation;Renny Harlin;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
496;2046;19470239;1444588;124;2004;Multi Nation;Kar-Wai Wong;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
497;Vanity Fair;19463185;16136476;141;2004;Multi Nation;Mira Nair;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
498;Catch That Kid;16951702;16703799;92;2004;Multi Nation;Bart Freundlich;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
499;One Missed Call;16367880;;87;2008;Multi Nation;Eric Valette;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
500;One Missed Call;45847751;26890041;87;2008;Multi Nation;Eric Valette;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
501;Raise Your Voice;14867514;10411980;103;2004;ABD;Sean McNamara;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
502;Soul Plane;14821824;14190750;92;2004;ABD;Jessy Terrero;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
503;Vizontele Tuuba;13954476;;119;2003;Türkiye;Y?lmaz Erdo?an;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
504;Chasing Liberty;12313323;12195626;111;2004;Multi Nation;Andy Cadiff;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
505;Layer Cake;11850214;2339957;105;2004;?ngiltere;Matthew Vaughn;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
506;District B13;10976892;1200216;84;2004;Fransa;Pierre Morel;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
507;Harry Potter and the Goblet of Fire;895921036;290013036;157;2005;Multi Nation;Mike Newell;0;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
508;King Kong;556906378;218080025;187;2005;Multi Nation;Peter Jackson;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
509;Madagascar;542063846;193595521;85;2005;ABD;"Eric Darnell
                                        ,                                                                                                                     Tom McGrath";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
510;Mr. & Mrs. Smith;487287646;186336279;120;2005;Multi Nation;Doug Liman;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
511;Batman Begins;373443774;205343774;140;2005;Multi Nation;Christopher Nolan;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
512;Hitch;371594210;179495555;118;2005;ABD;Andy Tennant;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
513;Fantastic Four;333535934;154696080;106;2005;Multi Nation;Tim Story;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
514;Fantastic Four;167882881;56117548;106;2005;Multi Nation;Tim Story;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
515;Chicken Little;314432837;135386665;81;2005;ABD;Mark Dindal;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
516;Wedding Crashers;288467645;209255921;119;2005;ABD;David Dobkin;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
517;Robots;262511490;128200012;89;2005;ABD;"Carlos Saldanha
                                        ,                                                                                                                     Chris Wedge";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
518;Constantine;230884728;75976178;121;2005;Multi Nation;Francis Lawrence;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
519;Flightplan;223387299;89707299;98;2005;ABD;Robert Schwentke;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
520;The Pacifier;198636868;113086868;95;2005;ABD;Adam Shankman;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
521;The Longest Yard;191466556;158119460;113;2005;ABD;Peter Segal;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
522;Brokeback Mountain;178062759;83043761;134;2005;Multi Nation;Ang Lee;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
523;The Ring Two;163995949;76231249;110;2005;ABD;Hideo Nakata;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
524;The Island;162949164;35818913;136;2005;ABD;Michael Bay;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
525;The Island;198326350;670883;136;2005;ABD;Michael Bay;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
526;The Interpreter;162944923;72708161;128;2005;Multi Nation;Sydney Pollack;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
527;Sin City;158733820;74103820;124;2005;ABD;"Frank Miller
                                        ,                                                                                                                     Quentin Tarantino
                                        ,                                                                                                                     Robert Rodriguez";1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
528;Bewitched;131426169;63313159;102;2005;ABD;Nora Ephron;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
529;Munich;130982129;47403685;164;2005;Multi Nation;Steven Spielberg;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
530;Sahara;119240351;68671925;124;2005;Multi Nation;Breck Eisner;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
531;Corpse Bride;118090836;53359111;77;2005;ABD;"Tim Burton
                                        ,                                                                                                                     Mike Johnson";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
532;Cinderella Man;108539911;61649911;144;2005;ABD;Ron Howard;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
533;The Amityville Horror;107516369;65233369;90;2005;ABD;Andrew Douglas;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
534;The Brothers Grimm;105316267;37916267;118;2005;ABD;Terry Gilliam;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
535;Guess Who;103121466;68915888;105;2005;ABD;Kevin Rodney Sullivan;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
536;Just Like Heaven;102854431;48318130;95;2005;ABD;Mark Waters;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
537;Are We There Yet?;97918663;82674398;95;2005;ABD;Brian Levant;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
538;Jarhead;97076152;62658220;123;2005;Multi Nation;Sam Mendes;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
539;Red Eye;96258201;57891803;85;2005;ABD;Wes Craven;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
540;Be Cool;95763716;56046979;118;2005;ABD;F. Gary Gray;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
541;The Skeleton Key;93983911;47907715;104;2005;Multi Nation;Iain Softley;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
542;Syriana;93974620;50824620;128;2005;ABD;Stephen Gaghan;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
543;The Family Stone;92884429;60062868;103;2005;ABD;Thomas Bezucha;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
544;Four Brothers;92374674;74494381;109;2005;ABD;John Singleton;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
545;White Noise;91196419;56386759;101;2005;Multi Nation;Geoffrey Sax;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
546;Racing Stripes;90754475;49772522;102;2005;ABD;Frederik Du Chau;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
547;Transporter 2;89083229;43095856;87;2005;Multi Nation;Louis Leterrier;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
548;Rumor Has It...;88933562;43000262;97;2005;Multi Nation;Rob Reiner;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
549;Sky High;86369815;63946815;100;2005;ABD;Mike Mitchell;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
550;Match Point;85638656;23151529;124;2005;Multi Nation;Woody Allen;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
551;In Her Shoes;83697473;32880591;130;2005;ABD;Curtis Hanson;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
552;The Constant Gardener;82466670;33579797;129;2005;Multi Nation;Fernando Meirelles;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
553;Stealth;79268322;32116746;121;2005;ABD;Rob Cohen;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
554;Coach Carter;76669554;67264877;136;2005;Multi Nation;Thomas Carter;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
555;Prime;67937494;22827153;102;2005;ABD;Ben Younger;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
556;Boogeyman;67192859;46752382;89;2005;ABD;Stephen Kay;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
557;Zathura: A Space Adventure;65079104;29258869;101;2005;ABD;Jon Favreau;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
558;Valiant;61746888;19478106;76;2005;Multi Nation;Gary Chapman;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
559;Must Love Dogs;58231520;43894863;98;2005;ABD;Gary David Goldberg;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
560;Doom;58072119;28212337;105;2005;Multi Nation;Andrzej Bartkowiak;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
561;Derailed;57479076;36024076;108;2005;Multi Nation;Mikael Håfström;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
562;The Descent;57051053;26024456;99;2005;?ngiltere;Neil Marshall;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
563;Elektra;56995646;24409722;97;2005;Multi Nation;Rob Bowman;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
564;Elizabethtown;52164016;26850426;123;2005;ABD;Cameron Crowe;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
565;Just Friends;50912434;32619671;96;2005;Multi Nation;Roger Kumble;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
566;Fever Pitch;50605163;42071069;104;2005;Multi Nation;"Bobby Farrelly
                                        ,                                                                                                                     Peter Farrelly";0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
567;Capote;49327405;28750530;114;2005;Multi Nation;Bennett Miller;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
568;The Wedding Date;47096206;31726995;88;2005;ABD;Clare Kilner;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
569;Get Rich or Die Tryin';46563961;30985352;117;2005;ABD;Jim Sheridan;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
570;The Fog;46201432;29550869;100;2005;Multi Nation;Rupert Wainwright;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
571;Deuce Bigalow: European Gigolo;45109561;22400154;83;2005;ABD;Mike Bigelow;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
572;A Lot Like Love;42886719;21845719;107;2005;ABD;Nigel Cole;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
573;Oliver Twist;42580321;2080321;130;2005;Multi Nation;Roman Polanski;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
574;Serenity;40445129;25514517;119;2005;ABD;Joss Whedon;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
575;Casanova;37691644;11304403;112;2005;ABD;Lasse Hallström;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
576;Beauty Shop;37245453;36351350;105;2005;ABD;Bille Woodruff;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
577;The Cave;33296457;15007991;97;2005;Multi Nation;Bruce Hunt;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
578;Cry Wolf;32586408;10047674;90;2005;ABD;Jeff Wadlow;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
579;Wolf Creek;30762648;16188180;104;2005;Multi Nation;Greg McLean;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
580;Cursed;29621722;19297522;97;2005;Multi Nation;Wes Craven;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
581;The Upside of Anger;28237488;18761993;118;2005;ABD;Mike Binder;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
582;Ice Princess;27645491;24402491;98;2005;Multi Nation;Tim Fywell;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
583;The Protector;27165581;12044087;111;2005;Multi Nation;Prachya Pinkaew;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
584;North Country;25211175;18337722;126;2005;ABD;Niki Caro;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
585;Hustle & Flow;23563727;22202809;116;2005;ABD;Craig Brewer;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
586;Domino;22944502;10169202;127;2005;Multi Nation;Tony Scott;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
587;The Jacket;21126225;6303762;103;2005;Multi Nation;John Maybury;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
588;The Devil's Rejects;20901859;17044981;107;2005;Multi Nation;Rob Zombie;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
589;The Perfect Man;19770475;16535005;100;2005;ABD;Mark Rosman;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
590;The Weather Man;19126398;12482775;101;2005;Multi Nation;Gore Verbinski;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
591;Waiting...;18637690;16124543;94;2005;ABD;Rob McKittrick;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
592;An Unfinished Life;18618284;8586392;108;2005;Multi Nation;Lasse Hallström;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
593;Caché;16197824;3647381;117;2005;Multi Nation;Michael Haneke;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
594;Kiss Kiss Bang Bang;15785148;4243756;103;2005;ABD;Shane Black;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
595;The Greatest Game Ever Played;15431177;15337393;120;2005;ABD;Bill Paxton;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
596;Transamerica;15151744;9015303;103;2005;ABD;Duncan Tucker;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
597;Pirates of the Caribbean: Dead Man's Chest;1066179725;423315812;151;2006;ABD;Gore Verbinski;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
598;The Da Vinci Code;760006945;217536138;149;2006;ABD;Ron Howard;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
599;Casino Royale;605999592;167445960;144;2006;Multi Nation;Martin Campbell;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
600;Cars;461983149;244082982;117;2006;ABD;"John Lasseter
                                        ,                                                                                                                     Joe Ranft";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
601;X-Men: The Last Stand;460435291;234362462;104;2006;ABD;Brett Ratner;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
602;Mission: Impossible III;398479497;134029801;126;2006;ABD;J.J. Abrams;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
603;Superman Returns;391081192;200081192;154;2006;ABD;Bryan Singer;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
604;Happy Feet;384335608;198000317;108;2006;Avustralya;"Warren Coleman
                                        ,                                                                                                                     George Miller
                                        ,                                                                                                                     Judy Morris";0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
605;The Devil Wears Prada;326705902;124740460;109;2006;Multi Nation;David Frankel;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
606;The Pursuit of Happyness;307127625;163566459;117;2006;ABD;Gabriele Muccino;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
607;The Departed;291465034;132384315;151;2006;Multi Nation;Martin Scorsese;1;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
608;Borat;262552893;128505958;84;2006;Multi Nation;Larry Charles;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
609;Eragon;250425512;75030163;104;2006;Multi Nation;Stefan Fangmeier;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
610;Click;240685326;137355633;107;2006;ABD;Frank Coraci;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
611;The Holiday;205841885;63224849;136;2006;ABD;Nancy Meyers;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
612;The Break-Up;205668210;118703275;106;2006;ABD;Peyton Reed;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
613;Open Season;200811689;85105259;83;2006;ABD;"Roger Allers
                                        ,                                                                                                                     Jill Culton";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
614;Inside Man;186003591;88513495;129;2006;ABD;Spike Lee;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
615;Poseidon;181674817;60674817;98;2006;ABD;Wolfgang Petersen;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
616;Deja Vu;180557550;64038616;126;2006;Multi Nation;Tony Scott;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
617;Flushed Away;178281554;64665672;85;2006;Multi Nation;"David Bowers
                                        ,                                                                                                                     Sam Fell";0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
618;Scary Movie 4;178262620;90710620;83;2006;ABD;David Zucker;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
619;Blood Diamond;171720398;57377916;143;2006;Multi Nation;Edward Zwick;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
620;The Pink Panther;164115897;82226474;93;2006;ABD;Shawn Levy;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
621;Miami Vice;163794509;63450470;132;2006;Multi Nation;Michael Mann;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
622;World Trade Center;163247198;70278893;129;2006;ABD;Oliver Stone;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
623;The Fast and the Furious: Tokyo Drift;158964610;62514415;104;2006;Multi Nation;Justin Lin;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
624;Rocky Balboa;155929020;70270943;102;2006;ABD;Sylvester Stallone;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
625;Dreamgirls;155430335;103365956;134;2006;ABD;Bill Condon;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
626;Charlotte's Web;148963822;82985708;97;2006;Multi Nation;Gary Winick;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
627;Garfield: A Tail of Two Kitties;143325970;28426747;78;2006;Multi Nation;Tim Hill;0;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
628;Monster House;141861243;73661010;90;2006;ABD;Gil Kenan;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
629;Big Momma's House 2;141522961;70165972;99;2006;ABD;John Whitesell;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
630;Babel;135330182;34302837;143;2006;Multi Nation;Alejandro González Iñárritu;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
631;Perfume: The Story of a Murderer;135039924;2223293;147;2006;Multi Nation;Tom Tykwer;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
632;You, Me and Dupree;130628903;75628110;108;2006;ABD;"Anthony Russo
                                        ,                                                                                                                     Joe Russo";0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
633;The Queen;123384128;56441711;103;2006;Multi Nation;Stephen Frears;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
634;Apocalypto;120673227;50866635;139;2006;Multi Nation;Mel Gibson;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
635;Eight Below;120455994;81612565;120;2006;ABD;Frank Marshall;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
636;Final Destination 3;118890272;54098051;93;2006;Multi Nation;James Wong;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
637;Barnyard;116755080;72637803;85;2006;Multi Nation;Steve Oedekerk;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
638;The Lake House;114830111;52330111;99;2006;Multi Nation;Alejandro Agresti;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
639;Step Up;114194847;65328121;104;2006;ABD;Anne Fletcher;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
640;The Prestige;109676311;53089891;130;2006;Multi Nation;Christopher Nolan;1;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
641;The Wild;102338515;37384046;81;2006;Multi Nation;"Steve Williams
                                        ,                                                                                                                     Steve 'Spaz' Williams";0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
642;Little Miss Sunshine;101058954;59891098;102;2006;ABD;"Jonathan Dayton
                                        ,                                                                                                                     Valerie Faris";0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
