;Name;Worldwide;Domestic;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Savas
14;Point Break;133782481;28782481;113;2015;Multi Nation;Ericson Core;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;Rush;7241350;7241350;123;2013;Multi Nation;Ron Howard;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;Rush;95224595;26947624;123;2013;Multi Nation;Ron Howard;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
17;Everybody's Fine;1745470;1745470;99;2009;ABD;Kirk Jones;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
18;The Unborn;1159578;1159578;87;2009;ABD;David S. Goyer;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
19;The Unborn;76514050;42670410;87;2009;ABD;David S. Goyer;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
20;Aladdin;346476295;217350219;127;2019;ABD;Guy Ritchie;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
21;Aladdin;346476295;217350219;127;2019;ABD;Guy Ritchie;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
22;Aladdin;1050693953;355559216;127;2019;ABD;Guy Ritchie;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
23;Aladdin;1050693953;355559216;127;2019;ABD;Guy Ritchie;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
24;Trespass;13249535;13249535;91;2011;ABD;Joel Schumacher;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
25;Gladiator;9223441;9223441;171;2000;Multi Nation;Ridley Scott;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
26;Gladiator;460583960;187705427;171;2000;Multi Nation;Ridley Scott;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
27;Rampage;796368;796368;108;2018;ABD;Brad Peyton;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
28;Rampage;428128233;101028233;108;2018;ABD;Brad Peyton;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
29;Proof;524668;524668;101;2005;ABD;John Madden;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
30;Proof;14189860;7535331;101;2005;ABD;John Madden;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
31;The Three Musketeers;53898845;53898845;110;2011;Multi Nation;Paul W.S. Anderson;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
32;The Three Musketeers;132274484;20374484;110;2011;Multi Nation;Paul W.S. Anderson;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
33;Fearless;6995302;6995302;103;2006;Multi Nation;Ronny Yu;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
34;Fearless;68072848;24633730;103;2006;Multi Nation;Ronny Yu;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
35;The Lion King;763455561;312855561;118;2019;ABD;Jon Favreau;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
36;The Lion King;1656943394;543638043;118;2019;ABD;Jon Favreau;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
37;The Jungle Book;43229904;43229904;103;2016;Multi Nation;Jon Favreau;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
38;The Jungle Book;966550600;364001123;103;2016;Multi Nation;Jon Favreau;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
39;Frankenstein;22006296;22006296;109;2015;Multi Nation;Paul McGuigan;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
40;No Escape;15339030;15339030;103;2015;ABD;John Erick Dowdle;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
41;No Escape;54418872;27288872;103;2015;ABD;John Erick Dowdle;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
42;Heat;67437309;67436818;92;2015;ABD;Simon West;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
43;Priest;4165845;4165845;87;2011;ABD;Scott Stewart;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
44;Priest;78309505;29137000;87;2011;ABD;Scott Stewart;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
