;Unnamed: 0;Name;Duration;Year;Country;Worldwide;Scenarist;Date;Month;Season;Director;Top_Director;Director_Category;DirectorRevenueRange;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Western
913;1091;Frida;123;2002;Multi Nation;56298474;"Clancy Sigal
                                        ";28 Mart 2003;Mart;spring;Julie Taymor;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
915;1093;The Help;146;2011;ABD;216639112;Tate Taylor;10 ?ubat 2012;?ubat;winter;Tate Taylor;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
917;1095;Star Trek Into Darkness;132;2013;ABD;467365246;"Alex Kurtzman
                                        ";7 Haziran 2013;Haziran;summer;J.J. Abrams;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
918;1096;Doctor Strange;116;2016;ABD;677718395;"Thomas Dean Donnelly
                                        ";4 Kas?m 2016;Kas?m;autumn;Scott Derrickson;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
919;1097;Cellular;94;2004;ABD;57678321;"Chris Morgan
                                        ";10 Eylül 2004;Eylül;autumn;David R. Ellis;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
921;1099;Street Kings;109;2008;ABD;66476363;"James Ellroy
                                        ";11 Nisan 2008;Nisan;spring;David Ayer;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
925;1105;Girl With A Pearl Earring;100;2003;Multi Nation;33030115;"Olivia Hetreed
                                        ";26 Mart 2004;Mart;spring;Peter Webber;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
926;1106;Hairspray;117;2007;Multi Nation;203552922;"Leslie Dixon
                                        ";18 Ocak 2008;Ocak;winter;Adam Shankman;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
928;1108;Just Friends;96;2005;Multi Nation;50912434;Adam 'Tex' Davis;23 Ekim 2005;Ekim;autumn;Roger Kumble;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
930;1112;Dhoom 3;171;2013;Hindistan;88031955;"Vijay Krishna Acharya
                                        ";20 Haziran 2014;Haziran;summer;Vijay Krishna Acharya;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
